52.77610,52.94145,52.24365
65.69777,65.64832,65.53866
66.24635,66.24171,66.15984
66.54150,66.71457,66.34526
66.73620,66.77947,66.60486
68.46847,68.41593,67.84721
70.76322,70.57624,69.88689
72.15552,71.64712,71.32394
74.00677,73.48292,72.89078
75.00502,74.22929,73.67884
75.95692,75.15182,74.43445
76.62757,75.29554,74.70795
78.75852,77.30750,76.52049
79.76604,77.67836,77.11385
80.73339,78.29493,77.60523
81.49985,78.32275,77.71185
82.36367,78.58699,78.20323
82.97096,78.66580,78.28203
83.62771,78.70289,78.26349
84.20565,78.75388,78.48136
84.89175,79.00885,78.48600
85.50832,78.73534,78.39792
86.10326,78.60554,78.20786
86.80018,78.50355,78.26813
87.30240,78.36447,78.11051
87.90351,78.35056,78.05952
88.35164,78.13268,78.03171
88.77505,78.11413,77.92045
89.10883,78.00751,77.87873
89.38544,78.05850,78.00389
89.56624,78.05387,77.87410
89.72849,78.05387,77.90655
89.83357,77.98433,77.82310
89.94947,77.92870,77.76748
90.02828,77.92870,77.73039
90.09473,77.97506,77.69794
90.15808,78.01678,77.70721
90.19517,78.05387,77.71648
90.22608,78.05850,77.72112
90.24153,78.04923,77.70721
90.25389,77.98433,77.73503
90.26316,77.98433,77.73039
90.29561,77.99360,77.72112
90.31570,77.97042,77.75821
90.34661,77.95652,77.69794
90.35433,77.96115,77.69794
90.36824,77.97042,77.72576
90.39451,77.95188,77.73039
90.40533,77.96579,77.73503
90.41924,77.97506,77.73039
90.42851,77.97506,77.73039
90.43623,77.97042,77.72576
90.43623,77.97969,77.73039
90.43778,77.97969,77.72112
90.44087,77.97969,77.73039
90.44087,77.97969,77.73039
